hour_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
1,900,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,885,885.0,916.0,873.0,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1127,889.0,796.0,1045.0,871.0,855.0,797.0,866.0,926.0,1800.0,930.0,720.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,900,900.0,2700.0,886.0,1605.0,1800.0,900.0,795.0,900.0,900.0,900.0,1800.0,900.0,945.0,795.0,900.0,645.0,765.0,900.0,1800.0,900.0,900.0,900.0,900.0,1800.0,885.0,900.0,1800.0,1800.0,1800.0,900.0,9900.0,885.0,1800.0,1290.0,900.0,795.0,900.0,825.0,2700.0,1200.0,900.0,900.0,900.0,6300.0,1800.0,1800.0,900.0,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1005,840.0,900.0,780.0,825.0,900.0,795.0,840.0,900.0,825.0,900.0,4500.0,900.0,810.0,885.0,900.0,2990.0,1800.0,900.0,840.0,900.0,855.0,1005.0,900.0,4500.0,915.0,840.0,900.0,900.0,1095.0,2700.0,870.0,930.0,900.0,900.0,1622.0,900.0,900.0,855.0,1800.0,1305.0,825.0,900.0,900.0,1155.0,915.0,900.0,1170.0,900.0,900.0,960.0,900.0,900.0,900.0,900.0,900.0,840.0,1725.0,900.0,945.0,855.0,900.0,900.0,900.0,900.0,1110.0,825.0,1305.0,1800.0,870.0,1065.0,900.0,1800.0,900.0,2700.0,900.0,870.0,885.0,900.0,900.0,900.0,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,900,900.0,900.0,1800.0,900.0,875.0,900.0,1800.0,840.0,900.0,855.0,900.0,900.0,900.0,1800.0,900.0,900.0,825.0,900.0,900.0,1125.0,900.0,855.0,900.0,1800.0,900.0,900.0,900.0,900.0,900.0,900.0,960.0,983.0,885.0,900.0,840.0,1080.0,900.0,900.0,900.0,900.0,900.0,885.0,900.0,2700.0,930.0,900.0,939.0,900.0,1365.0,900.0,615.0,870.0,1800.0,780.0,1800.0,2096.0,900.0,900.0,1800.0,900.0,922.0,900.0,855.0,900.0,1800.0,900.0,900.0,915.0,900.0,1125.0,900.0,900.0,900.0,900.0,900.0,1800.0,765.0,900.0,900.0,855.0,900.0,990.0,900.0,900.0,900.0,720.0,810.0,915.0,720.0,1515.0,780.0,1027.0,1335.0,1380.0,920.0,3600.0,900.0,930.0,1110.0,862.0,870.0,900.0,1485.0,900.0,900.0,900.0,930.0,900.0,900.0,1800.0,900.0,1080.0,900.0,1800.0,900.0,873.0,1744.0,1019.0,900.0,900.0,900.0,964.0,900.0,900.0,885.0,900.0,900.0,945.0,900.0,870.0,900.0,900.0,1140.0,900.0,900.0,900.0,900.0,930.0,900.0,855.0,900.0,900.0,930.0,1800.0,11700.0,1050.0,900.0,840.0,900.0,900.0,915.0,900.0,2700.0,840.0,900.0,900.0,2700.0,900.0,900.0,900.0,900.0
12,900,900.0,900.0,900.0,900.0,900.0,1800.0,1800.0,900.0,1050.0,933.0,900.0,1800.0,900.0,2700.0,900.0,900.0,900.0,1800.0,930.0,900.0,900.0,900.0,900.0,941.0,2700.0,900.0,900.0,900.0,855.0,900.0,952.0,885.0,900.0,900.0,900.0,900.0,900.0,965.0,900.0,1800.0,887.0,900.0,840.0,795.0,900.0,900.0,1140.0,900.0,900.0,825.0,1800.0,1140.0,1710.0,900.0,900.0,1800.0,866.0,1245.0,960.0,900.0,945.0,855.0,900.0,840.0,1800.0,900.0,1050.0,2700.0,1800.0,900.0,780.0,885.0,2115.0,1410.0,900.0,1185.0,1230.0,885.0,900.0,900.0,857.0,1800.0,788.0,900.0,964.0,840.0,840.0,1800.0,1800.0,900.0,1800.0,1050.0,1800.0,1215.0,900.0,1800.0,870.0,2700.0,1800.0,840.0,900.0,900.0,901.0,2700.0,1800.0,750.0,900.0,1035.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,907.0,900.0,900.0,1800.0,900.0,1800.0,900.0,900.0,900.0,1800.0,900.0,885.0,1800.0,885.0,1800.0,855.0,930.0,900.0,2700.0,1095.0,864.0,900.0,1002.0,900.0,780.0,900.0,900.0,900.0,900.0,1800.0,900.0,900.0,,,,,,,,,,,
13,900,1800.0,900.0,855.0,900.0,900.0,944.0,900.0,2700.0,859.0,900.0,900.0,1800.0,765.0,900.0,900.0,840.0,690.0,900.0,855.0,900.0,870.0,900.0,1920.0,900.0,900.0,705.0,1800.0,1800.0,885.0,915.0,870.0,900.0,1800.0,1800.0,900.0,1710.0,900.0,810.0,900.0,1440.0,900.0,870.0,1800.0,6300.0,750.0,900.0,915.0,2700.0,1800.0,900.0,855.0,990.0,900.0,1695.0,795.0,900.0,900.0,915.0,900.0,900.0,4500.0,915.0,720.0,855.0,1800.0,900.0,900.0,900.0,900.0,900.0,930.0,943.0,900.0,1410.0,1800.0,900.0,780.0,900.0,1065.0,1485.0,3600.0,3600.0,900.0,1245.0,885.0,1071.0,1800.0,900.0,900.0,930.0,900.0,1500.0,930.0,900.0,1800.0,900.0,900.0,1800.0,900.0,865.0,900.0,870.0,900.0,855.0,855.0,780.0,1795.0,945.0,810.0,1800.0,1800.0,900.0,3600.0,1800.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3600,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1800.0,1800.0,900.0,900.0,990.0,975.0,900.0,890.0,2700.0,870.0,900.0,960.0,881.0,1110.0,900.0,960.0,1900.0,1680.0,900.0,907.0,2700.0,900.0,1800.0,1275.0,950.0,876.0,810.0,1020.0,1105.0,885.0,883.0,7200.0,825.0,900.0,900.0,900.0,1511.0,900.0,900.0,3600.0,900.0,900.0,1800.0,1740.0,900.0,825.0,900.0,1770.0,900.0,885.0,1800.0,4500.0,1800.0,765.0,1080.0,1800.0,930.0,1020.0,900.0,810.0,795.0,930.0,615.0,900.0,1800.0,1010.0,945.0,900.0,900.0,900.0,1515.0,900.0,900.0,900.0,900.0,900.0,900.0,840.0,915.0,1125.0,900.0,1800.0,855.0,900.0,1305.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,900,900.0,855.0,913.0,2700.0,900.0,900.0,1475.0,900.0,1275.0,951.0,900.0,4500.0,900.0,1575.0,900.0,765.0,900.0,795.0,900.0,1001.0,1800.0,765.0,810.0,900.0,1800.0,1125.0,900.0,1425.0,2700.0,1125.0,900.0,855.0,1530.0,810.0,1080.0,780.0,870.0,885.0,870.0,837.0,1800.0,1725.0,1800.0,900.0,900.0,900.0,900.0,825.0,900.0,900.0,810.0,855.0,900.0,870.0,1023.0,3600.0,1140.0,930.0,900.0,942.0,900.0,2700.0,2220.0,1500.0,1515.0,915.0,885.0,990.0,900.0,735.0,825.0,900.0,1800.0,877.0,780.0,2700.0,900.0,900.0,900.0,1800.0,4500.0,1800.0,900.0,885.0,1800.0,900.0,900.0,900.0,1800.0,825.0,900.0,900.0,900.0,1800.0,1800.0,900.0,2700.0,900.0,1080.0,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,900,870.0,2700.0,882.0,870.0,900.0,1236.0,1800.0,900.0,1826.0,900.0,1005.0,900.0,916.0,900.0,904.0,900.0,1800.0,1005.0,1050.0,900.0,900.0,900.0,1035.0,900.0,885.0,1080.0,900.0,1320.0,1905.0,825.0,900.0,900.0,900.0,1125.0,900.0,8100.0,900.0,1020.0,900.0,870.0,825.0,900.0,825.0,900.0,900.0,1800.0,1305.0,900.0,885.0,930.0,1800.0,915.0,615.0,900.0,885.0,900.0,1800.0,900.0,915.0,750.0,900.0,900.0,825.0,900.0,900.0,930.0,900.0,900.0,840.0,810.0,3600.0,900.0,900.0,735.0,929.0,900.0,5400.0,900.0,1410.0,1800.0,1050.0,900.0,900.0,900.0,900.0,916.0,885.0,1560.0,1350.0,1200.0,1800.0,8100.0,1260.0,1800.0,1140.0,1800.0,1170.0,900.0,1800.0,855.0,660.0,1320.0,900.0,795.0,4500.0,900.0,900.0,855.0,900.0,900.0,855.0,885.0,840.0,1125.0,900.0,885.0,900.0,2700.0,900.0,795.0,912.0,900.0,3600.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,929,795.0,1170.0,956.0,945.0,945.0,1740.0,1320.0,900.0,836.0,900.0,900.0,900.0,900.0,750.0,1800.0,795.0,810.0,765.0,810.0,1035.0,1800.0,962.0,900.0,900.0,3600.0,975.0,1124.0,895.0,825.0,825.0,915.0,900.0,900.0,7200.0,900.0,900.0,900.0,1800.0,1042.0,900.0,900.0,954.0,1800.0,900.0,900.0,900.0,1485.0,915.0,900.0,1800.0,900.0,930.0,930.0,900.0,885.0,900.0,900.0,900.0,1485.0,900.0,900.0,900.0,900.0,1800.0,1800.0,1800.0,1830.0,810.0,1800.0,900.0,1260.0,1800.0,810.0,675.0,855.0,900.0,870.0,900.0,900.0,930.0,3600.0,900.0,900.0,1800.0,900.0,900.0,900.0,1050.0,900.0,900.0,900.0,888.0,840.0,900.0,900.0,870.0,900.0,900.0,1080.0,5400.0,900.0,900.0,780.0,900.0,855.0,915.0,930.0,900.0,900.0,900.0,900.0,900.0,825.0,795.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,870,930.0,1800.0,1549.0,900.0,870.0,900.0,900.0,900.0,900.0,900.0,870.0,900.0,855.0,825.0,900.0,900.0,900.0,900.0,900.0,885.0,1005.0,885.0,900.0,927.0,900.0,1800.0,900.0,900.0,900.0,960.0,900.0,945.0,974.0,900.0,840.0,855.0,900.0,900.0,1800.0,900.0,840.0,900.0,900.0,900.0,1500.0,900.0,900.0,1800.0,900.0,920.0,900.0,900.0,810.0,900.0,900.0,1110.0,1800.0,900.0,1800.0,900.0,900.0,900.0,1125.0,1800.0,1800.0,1005.0,915.0,2700.0,870.0,1800.0,900.0,900.0,900.0,900.0,870.0,1095.0,900.0,900.0,900.0,990.0,615.0,937.0,905.0,915.0,900.0,900.0,900.0,885.0,900.0,1800.0,825.0,900.0,900.0,900.0,900.0,900.0,795.0,900.0,900.0,900.0,900.0,1800.0,900.0,900.0,900.0,900.0,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,900,900.0,900.0,810.0,900.0,870.0,1197.0,861.0,900.0,900.0,2985.0,855.0,840.0,857.0,870.0,921.0,900.0,1800.0,900.0,885.0,900.0,2700.0,900.0,900.0,900.0,900.0,900.0,900.0,705.0,900.0,886.0,900.0,960.0,902.0,3600.0,900.0,900.0,1800.0,990.0,900.0,825.0,1800.0,1800.0,1800.0,1095.0,1800.0,1800.0,900.0,870.0,900.0,900.0,810.0,900.0,1350.0,1800.0,900.0,900.0,900.0,900.0,3600.0,900.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,915,900.0,900.0,780.0,1800.0,900.0,900.0,900.0,900.0,795.0,900.0,1800.0,1800.0,900.0,900.0,900.0,1065.0,900.0,1995.0,1245.0,900.0,900.0,870.0,885.0,930.0,900.0,866.0,2700.0,900.0,900.0,900.0,1148.0,900.0,3600.0,915.0,1800.0,825.0,1800.0,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,900,1005.0,840.0,900.0,855.0,705.0,855.0,840.0,1398.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,885.0,900.0,1800.0,900.0,900.0,2700.0,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,886,892.0,900.0,1126.0,914.0,900.0,991.0,886.0,900.0,871.0,2700.0,1800.0,895.0,900.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1054,915.0,897.0,840.0,825.0,900.0,900.0,900.0,900.0,900.0,1800.0,690.0,900.0,900.0,900.0,900.0,855.0,900.0,900.0,1800.0,855.0,900.0,1800.0,1800.0,900.0,825.0,900.0,915.0,1421.0,1080.0,900.0,900.0,900.0,900.0,870.0,900.0,900.0,1215.0,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,858,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,871,900.0,900.0,780.0,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
